title,release_date,popularity,genre_ids,vote_average
Rat Race,2001-08-17,21.182,"[12, 35]",6.257
Queenpins,2021-08-26,21.178,"[35, 80]",6.497
Never Been Kissed,1999-04-09,15.846,"[10749, 35, 18]",6.173
Field of Dreams,1989-04-21,19.095,"[18, 14]",7.1
Push,2009-02-04,19.347,"[878, 28, 12, 53]",6.151
The Rope Curse 3,2023-08-25,22.506,[27],4.6
Digimon Adventure: Last Evolution Kizuna,2020-02-21,22.357,"[16, 28, 12, 14]",8.118
Sex Plate 17,2017-11-13,21.592,"[35, 18, 10749]",6.2
The One,2001-11-02,21.096,"[28, 878, 53]",6.105
Game of Death,1978-03-23,19.594,"[18, 28, 53]",6.41
A Street Cat Named Bob,2016-11-04,16.599,"[10751, 18]",7.915
Damage,1992-12-02,18.843,"[18, 10749]",6.567
It Could Happen to You,1994-07-29,22.093,"[35, 18, 10749]",6.475
Snow Dogs,2002-01-18,20.593,"[35, 10751, 12]",5.6
Love Hard,2021-11-05,16.114,"[35, 10749]",6.964
The Doors,1991-03-01,31.841,"[10402, 18, 36]",7.123
The Accused,1988-10-14,19.09,"[80, 18]",7.033
Girls Just Want to Have Fun,1985-04-12,15.359,"[35, 10751, 10402, 10749]",6.163
Cellular,2004-09-06,19.09,"[28, 53, 18, 80]",6.381
Witness for the Prosecution,1957-12-17,21.84,"[18, 9648, 80]",8.213
"Roman J. Israel, Esq.",2017-11-17,19.845,"[18, 80, 53]",6.321
Loft,2010-12-16,19.59,[53],6.207
"Roman J. Israel, Esq.",2017-11-17,19.845,"[18, 80, 53]",6.321
Loft,2010-12-16,19.59,[53],6.207
Chosen Season 4 Episodes 4-6,2024-02-15,17.218,[],0.0
Sinister 2,2015-08-19,24.842,[27],5.886
Cape Fear,1991-11-13,19.837,"[80, 53]",7.268
Covet: Island of Desire,2017-05-04,20.935,[10749],5.3
Ran,1985-06-01,15.343,"[28, 18, 36]",8.1
The Conversation,1974-04-07,16.336,"[80, 18, 9648]",7.525
Gunfight at Rio Bravo,2023-01-13,25.344,"[37, 28]",6.016
Special Delivery,2022-01-12,26.11,"[28, 80]",7.1
Guilty of Romance,2011-09-30,20.338,"[53, 27, 9648]",6.956
Critters,1986-04-11,21.335,"[35, 27, 878]",6.371
The Keeper of Lost Causes,2013-10-03,18.839,"[53, 9648, 80]",7.076
The Secret of Kells,2009-02-09,15.338,"[16, 10751, 14]",7.406
La Cocina,2024-02-16,26.892,[18],1.0
Addams Family Reunion,1998-12-24,15.585,"[35, 27, 14, 10751, 10770]",4.792
The Land Before Time II: The Great Valley Adventure,1994-12-12,19.583,"[16, 12, 10751]",6.3
The Return of the Living Dead,1985-04-25,24.333,"[27, 35]",7.14
I Spit on Your Grave: Déjà Vu,2019-04-23,19.093,"[27, 53]",2.995
Barry Lyndon,1975-12-18,22.583,"[18, 10749, 10752]",8.0
Fear,1996-04-12,21.087,[53],6.3
A Walk in the Clouds,1995-05-27,21.086,"[18, 10749]",7.241
8MM,1999-02-26,21.084,"[53, 80, 9648]",6.4
Barbie: Spy Squad,2016-01-15,21.083,"[28, 16, 10751]",6.959
Sextuplets,2019-08-16,21.077,[35],6.209
Dressed to Kill,1980-07-25,21.077,"[9648, 53, 27]",6.926
The Tragedy of Macbeth,2021-12-05,21.071,"[18, 10752]",6.9
The Poison Rose,2019-05-23,21.071,"[53, 80]",4.633
Evolution,2001-06-08,21.065,"[35, 878, 28]",6.1
A Place to Fight For,2023-06-08,21.064,"[18, 10749, 53]",6.836
Marmaduke,2022-04-28,21.061,"[16, 10751, 35, 12]",5.014
Hunter x Hunter: The Last Mission,2013-12-27,21.061,"[12, 16, 28, 14]",6.9
Nuclear Now,2023-04-28,21.059,[99],7.444
Astérix at the Olympic Games,2008-01-30,21.059,"[14, 12, 35, 10751]",5.205
Vacation Friends 2,2023-08-25,21.058,[35],6.484
Somebody I Used to Know,2023-02-10,21.057,"[10749, 35, 18]",5.929
Chunin Exam on Fire! and Naruto vs. Konohamaru!,2011-07-30,21.053,"[16, 28]",6.419
God's Crooked Lines,2022-10-06,21.047,"[18, 9648, 53]",7.369
Fred Claus,2007-11-09,21.045,"[28, 35, 18]",5.786
Barbie Presents: Thumbelina,2009-02-24,21.044,"[16, 10751]",6.621
Lying and Stealing,2019-07-12,21.043,"[80, 35, 18]",5.871
Silenced,2011-09-22,21.042,[18],8.147
Inkheart,2008-12-11,21.041,"[12, 10751, 14]",6.276
How It Ends,2018-07-13,21.038,"[878, 53, 9648, 28, 12]",5.3
Rings,2017-02-01,21.035,[27],4.965
How to Be a Latin Lover,2017-03-06,21.029,[35],6.929
Bridge of Spies,2015-10-15,21.027,"[53, 18]",7.228
The Secret Garden,2020-07-08,21.026,"[10751, 14, 18]",6.353
Black Box,2005-11-02,21.026,"[9648, 53]",5.4
After Yang,2022-03-04,21.024,"[878, 18]",6.43
The House,2022-01-14,21.023,"[16, 18, 35, 27, 14]",7.019
The Secret in Their Eyes,2009-08-13,21.023,"[9648, 53, 18]",8.002
The Taste of Things,2023-11-08,21.022,"[10749, 18, 36]",7.3
Beyond the Reach,2014-09-06,21.02,[53],5.885
Centigrade,2020-08-28,21.019,[53],5.868
Dracula: Dead and Loving It,1995-12-22,21.019,"[35, 27]",6.067
Premium Rush,2012-08-24,21.015,"[80, 28, 53]",6.32
Blackout,2022-10-12,21.006,"[28, 12, 53]",5.289
Iké Boys,2022-10-11,20.994,"[14, 12]",5.8
30 Days of Night,2007-10-17,20.994,"[27, 53]",6.406
The Poseidon Adventure,1972-12-13,20.994,"[12, 53, 28]",7.095
All-Time High,2023-11-17,20.99,"[35, 10749]",5.82
Héctor El Father: Conocerás la verdad,2018-03-22,20.988,"[18, 99]",7.892
Yummy,2019-12-13,20.987,"[27, 35]",6.302
Burn,2019-08-23,20.987,"[53, 80, 28]",6.1
Dead Man Down,2013-03-08,20.987,"[53, 28, 80, 18]",6.168
Happy Gilmore,1996-02-16,20.987,[35],6.628
The Parent Trap,1961-05-13,20.985,"[35, 10751]",7.003
Funny Games,2008-03-14,20.984,"[18, 53, 27]",6.574
Merry Madagascar,2009-11-16,20.982,"[10751, 16]",6.5
Kronk's New Groove,2005-12-05,20.973,"[16, 35, 10751]",6.395
Masters of the Universe,1987-08-07,20.972,"[28, 14, 878, 12, 53]",5.701
Kingdom,2019-04-19,20.968,"[28, 12, 10752, 36]",7.189
The Sum of All Fears,2002-05-31,20.967,"[53, 28, 18]",6.346
The Smurfs: The Legend of Smurfy Hollow,2013-09-12,20.966,"[35, 16, 10751, 14]",6.78
The Outpost,2020-06-24,20.963,"[10752, 18, 36, 28]",6.882
Driven,2001-04-27,20.961,"[28, 18, 10751]",5.143
Lost Illusions,2021-10-20,20.958,"[18, 10749, 36]",7.457
This Means War,2012-02-14,20.954,"[28, 35, 10749]",6.153
Dante's Inferno: An Animated Epic,2010-02-09,20.952,"[28, 12, 16, 27]",6.948
A Werewolf Boy,2012-10-31,20.117,"[10749, 14]",7.628
Vexanthrone,2024-02-15,15.992,[27],0.0
Berserk: The Golden Age Arc III - The Advent,2013-02-01,20.366,"[28, 12, 18, 14, 16]",7.6
The 7th Voyage of Sinbad,1958-12-05,15.614,"[28, 12, 10751, 14]",6.9
Floating Holidays,2024-02-16,23.208,[],0.0
Letters to Juliet,2010-05-13,19.114,"[35, 18, 10749]",6.99
Bodies Bodies Bodies,2022-08-05,24.073,"[35, 27, 9648]",6.366
They Cloned Tyrone,2023-06-14,17.188,"[35, 878, 9648]",6.659
The Turning,2020-01-23,18.872,"[27, 53]",5.774
Maid in Manhattan,2002-12-13,24.06,"[35, 18, 10749]",6.1
Obsession,2015-06-04,18.113,"[10749, 53]",6.4
Journey to the West: Conquering the Demons,2013-02-07,20.361,"[28, 14, 12, 35]",6.897
The Devil on Trial,2023-10-17,17.787,[99],6.008
The Closet,2020-02-05,21.619,"[27, 53]",7.3
Mank,2020-11-13,15.872,"[18, 36]",6.7
Ultima Thule,2024-02-16,26.73,[18],0.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984-03-30,20.356,"[12, 18, 28, 10749]",6.355
The Girl Who Leapt Through Time,2006-07-15,18.108,"[14, 16, 18, 878]",7.775
Erotic Passion,1981-03-26,16.345,"[80, 18]",5.375
Stage Fright,1950-02-23,24.031,[53],6.774
The Informer,2019-08-30,21.318,"[18, 80, 53]",6.539
The Call of Sex,1977-06-25,22.757,[53],4.7
The Courier,2020-01-24,19.317,"[53, 36, 18]",7.039
The Messenger: The Story of Joan of Arc,1999-10-27,23.306,"[12, 18, 28, 36, 10752]",6.4
Mississippi Burning,1988-12-08,23.305,"[18, 80]",7.667
Detective Conan: Quarter of Silence,2011-04-16,17.057,"[16, 28, 80, 9648]",7.039
Shivrayancha Chhava,2024-02-16,25.128,"[36, 18, 28]",0.0
Kral Şakir: Devler Uyandı,2024-02-16,24.325,[16],0.0
Justice League: War,2014-01-21,17.557,"[16, 28]",7.428
Last Holiday,2006-01-13,21.303,"[12, 35, 18]",7.15
The Big Boss,1971-10-03,19.8,[28],7.1
Cape Fear,1962-04-12,15.2,[53],7.434
Boston Strangler,2023-03-17,17.356,"[80, 9648, 53, 18, 36]",6.688
Pooh's Heffalump Movie,2005-02-11,18.299,"[10751, 16, 35, 14]",6.8
Cell 211,2009-11-06,20.3,"[28, 53, 18]",7.447
Fate/stay night: Heaven's Feel I. Presage Flower,2017-10-14,20.804,"[28, 16, 18, 14, 10749]",7.472
Pokémon 4Ever,2001-07-06,23.298,"[12, 14, 16, 878, 10751]",6.459
All the Old Knives,2022-04-08,22.074,"[53, 28]",6.032
Stalingrad,1993-01-20,22.796,"[18, 36, 10752]",7.304
Acts of Vengeance,2017-10-27,19.303,"[53, 28, 18]",5.943
Oliver & Company,1988-11-18,20.844,"[16, 35, 10751]",6.72
P.S. I Love You,2007-11-15,20.84,"[18, 10749]",7.195
Freedom Writers,2007-01-05,20.84,"[80, 18]",7.912
Snakes on a Plane,2006-08-17,20.84,"[28, 80, 53, 12]",5.439
Backdraft 2,2019-05-14,20.839,"[28, 80, 18]",6.4
Wanderlust,2012-02-23,20.839,"[35, 10749]",5.507
Sand Castle,2017-04-21,20.838,"[10752, 28, 18]",6.474
Anthropoid,2016-08-12,20.837,"[36, 53, 10752]",7.1
Prom Pact,2023-03-30,20.835,"[10749, 35]",7.3
My Name Is Nobody,1973-12-13,20.835,"[35, 37]",7.2
Midnight Cowboy,1969-05-25,20.835,[18],7.516
Emanuelle and the Last Cannibals,1977-10-21,20.833,"[12, 27]",5.1
Smugglers,2023-07-26,20.83,"[80, 28]",7.2
Vicky Cristina Barcelona,2008-08-15,20.829,"[18, 10749]",6.794
Eden,2012-03-11,20.828,"[53, 18, 80]",6.614
The Woman in Black 2: Angel of Death,2014-12-30,20.825,"[53, 27, 18]",5.249
Kuroko's Basketball the Movie: Last Game,2017-03-18,20.823,[16],7.709
Mickey's Twice Upon a Christmas,2004-11-15,20.818,"[16, 10751]",6.988
Maximum Risk,1996-09-13,20.816,"[28, 53]",5.736
Sweet Family,2019-05-10,20.815,[35],7.521
Wild Tales,2014-08-21,20.814,"[18, 53, 35]",7.869
The Tin Drum,1979-05-02,20.813,"[18, 36, 10752]",6.955
Lilya 4-ever,2002-08-23,20.809,"[80, 18]",7.644
Fate/stay night: Heaven's Feel I. Presage Flower,2017-10-14,20.804,"[28, 16, 18, 14, 10749]",7.472
Loving Vincent,2017-06-22,20.802,"[16, 18, 9648, 36]",8.0
Student Services,2010-01-18,20.798,[18],5.161
Mine,2016-10-06,20.797,"[10752, 53]",6.568
Wolfwalkers,2020-10-26,20.794,"[16, 10751, 12, 14]",8.208
Don't Be Afraid of the Dark,2010-11-06,20.794,"[14, 27, 53]",5.764
A Vampire in the Family,2023-12-23,20.793,[35],5.39
Puss in Book: Trapped in an Epic Tale,2017-06-16,20.789,"[10751, 14, 16, 35, 12]",6.6
Kama Sutra: A Tale of Love,1996-09-11,20.785,"[18, 36, 10749]",5.7
Wolf Warrior 2,2017-07-27,20.782,"[10752, 28, 53]",6.613
Her Blue Sky,2019-10-11,20.78,"[16, 10749]",7.122
"I, Tonya",2017-12-08,20.777,"[18, 35]",7.498
Laura's Star,2021-12-09,20.776,[10751],6.417
LUPIN THE 3rd vs. CAT'S EYE,2023-01-26,20.77,"[16, 28, 12, 35, 80]",6.1
John Q,2002-02-15,20.77,"[18, 53, 80]",7.11
Point of No Return,1993-03-19,20.767,"[28, 80, 53]",6.222
Big,1988-06-03,20.764,"[14, 18, 35, 10749, 10751]",7.163
Kids,1995-07-28,19.532,"[18, 80]",6.9
My Sister's Keeper,2009-06-26,19.034,[18],7.365
Tinker Tailor Soldier Spy,2011-09-16,23.534,"[18, 53, 9648]",6.619
The Promised Land,2023-10-05,27.156,"[36, 18]",7.606
Identity,2003-04-25,21.782,"[9648, 53]",7.184
No Dogs or Italians Allowed,2023-01-25,20.63,"[16, 18]",7.535
How I Became a Superhero,2020-11-19,19.046,"[878, 12, 28, 35, 53]",6.091
God's Not Dead,2014-03-21,18.034,[18],6.033
Unknown,2011-02-16,22.533,"[28, 9648, 53]",6.67
How It Ends,2018-07-13,21.038,"[878, 53, 9648, 28, 12]",5.3
Moneyball,2011-09-23,23.783,[18],7.27
The Hunger,1983-04-29,21.78,"[27, 18]",6.646
The Theory of Everything,2014-11-26,17.281,"[18, 10749]",7.857
Madly Madagascar,2013-01-29,15.107,"[16, 35, 10751]",6.53
A Charlie Brown Christmas,1965-12-09,21.777,"[16, 10751, 35, 10770]",7.709
A Merry Friggin' Christmas,2014-11-07,19.642,[35],5.335
Drive-Away Dolls,2024-02-22,23.773,"[28, 35, 80]",0.0
Reunion Goals: The Beginning,2017-02-02,20.432,"[35, 10749]",8.2
Flora and Son,2023-09-21,21.406,"[10402, 35, 18]",6.974
Seabiscuit,2003-07-22,16.526,"[18, 36]",7.016
Drumline,2002-12-13,14.204,"[18, 10749, 35, 10402]",6.9
Paranormal Activity: Tokyo Night,2010-11-20,16.804,"[27, 53]",6.005
The Perfect Date,2019-04-12,17.31,"[10749, 35]",6.46
A Princess for Christmas,2011-12-03,16.303,"[35, 10751, 10770, 10749, 18]",7.044
Pelé: Birth of a Legend,2016-05-06,18.304,[18],7.374
Office Christmas Party,2016-11-25,20.553,[35],5.671
Body of Lies,2008-10-09,21.799,"[28, 18, 53]",6.629
Drunken Master,1978-10-05,23.645,"[28, 35]",7.357
Kung Fu Jungle,2014-10-31,17.05,"[28, 53, 80]",6.754
Mortal Kombat: Annihilation,1997-11-11,23.641,"[28, 14, 878]",4.513
Broertje is verdwaald,2024-02-15,14.183,[99],0.0
Exam,2009-06-19,16.548,"[53, 9648]",6.717
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972-08-06,18.546,[35],6.5
Black Box,2005-11-02,21.026,"[9648, 53]",5.4
Forgetting Sarah Marshall,2008-04-17,23.631,"[35, 10749, 18]",6.487
The Dinosaur Project,2012-08-09,18.547,"[12, 28, 27]",5.638
Batman: Hush,2019-07-19,16.804,"[28, 16, 80, 9648]",7.15
Police Academy 2: Their First Assignment,1985-03-28,23.625,"[35, 80]",6.066
A Frozen Flower,2008-12-30,19.045,[18],6.892
Scooby-Doo! The Sword and the Scoob,2021-02-24,18.06,"[16, 35, 10751, 9648, 12, 14]",7.7
Major Payne,1995-03-24,20.699,"[12, 35, 10751]",6.362
Prey,2007-05-18,20.698,"[12, 27, 53]",5.771
Hunter x Hunter: Phantom Rouge,2013-01-12,20.697,"[16, 12, 14, 28]",7.1
The Young Master,1980-02-09,20.697,"[28, 35]",6.882
After Hours,1985-08-16,20.696,"[35, 53, 18]",7.5
DOA: Dead or Alive,2006-09-07,20.695,"[12, 28, 53]",5.2
Grease 2,1982-06-11,20.694,"[35, 10402, 10749]",5.1
Speed Kills,2018-11-16,20.689,"[80, 18, 53]",5.538
Monte Carlo,2011-07-01,20.688,"[12, 35, 10749]",6.565
Stitch! The Movie,2003-08-26,20.688,"[35, 12, 10751, 16]",6.453
Scooby-Doo! Pirates Ahoy!,2006-09-10,20.682,"[14, 16, 35, 10751, 9648, 12]",7.546
Little Bone Lodge,2023-11-23,20.681,"[27, 80, 53]",7.065
Narco Sub,2021-01-22,20.681,[28],6.6
The Gambler,2014-12-25,20.68,"[53, 80, 18]",5.919
Wish of the Fairy Fish,2023-10-26,20.679,"[14, 12, 10751]",8.656
Once Upon a Time in Venice,2017-06-08,20.678,"[28, 35, 53, 9648]",5.184
Paranormal Activity: Next of Kin,2021-10-29,20.677,"[27, 9648]",6.14
Cannonball Run II,1984-06-29,20.677,"[28, 35]",5.4
S.W.A.T.: Firefight,2011-03-01,20.676,"[28, 80, 53]",5.713
Lupin the Third: Goemon's Blood Spray,2017-02-04,20.668,"[16, 28, 80, 18]",7.865
Cosmic Sin,2021-03-12,20.667,"[28, 12, 878]",4.09
Before Night Falls,2022-03-31,20.664,"[27, 18, 9648]",3.0
Last Call for Istanbul,2023-11-24,20.66,"[10749, 18]",6.54
King Kong vs. Godzilla,1962-08-11,20.66,"[878, 35, 12]",6.792
Machete Kills,2013-09-12,20.658,"[28, 80, 53]",5.607
Who Finds a Friend Finds a Treasure,1981-12-09,20.658,"[28, 12, 35]",6.871
A Star Is Born,1954-10-01,20.658,"[18, 10402, 10749]",7.1
The 8th Night,2021-07-02,20.657,"[9648, 53, 27]",6.036
An Extremely Goofy Movie,2000-02-29,20.657,"[16, 10751, 35]",6.374
Ghost in the Shell: Arise - Border 3: Ghost Tears,2014-06-28,20.654,"[28, 16, 878]",6.823
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003-12-20,20.653,"[16, 14, 12]",7.685
Near Dark,1987-10-02,20.649,[27],6.882
Leprechaun Returns,2018-12-11,20.644,"[27, 14, 35]",6.101
St. Vincent,2014-10-09,20.644,[35],7.104
Early Man,2018-01-26,20.641,"[10751, 35, 16, 12]",6.2
Johnny English Strikes Again,2018-09-13,20.64,"[28, 12, 35]",6.266
Van Wilder 2: The Rise of Taj,2006-12-01,20.639,"[35, 10749]",5.0
Kiss the Girls,1996-03-26,20.639,"[53, 80, 9648, 18]",6.5
Resident Evil,2002-03-15,20.638,"[27, 28, 878]",6.617
L.A. Confidential,1997-09-19,20.637,"[80, 9648, 53]",7.789
Primeval,2007-01-12,21.501,"[12, 27, 28]",6.0
El Conde,2023-09-08,20.619,"[35, 27, 14]",6.199
The Bodyguard from Beijing,1994-07-28,17.508,"[18, 28, 53]",6.5
The Cable Guy,1996-06-10,18.248,"[35, 18, 53]",5.986
All Shall Be Well,2024-02-16,24.604,[18],0.0
Selena,1997-03-21,16.998,"[18, 10402, 36]",7.724
"Hail, Caesar!",2016-02-05,22.002,"[35, 80, 9648]",5.915
Night of the Living Dead,1968-10-04,22.498,[27],7.617
Cop Land,1997-08-15,18.498,"[80, 18, 9648]",6.787
Moonstruck,1987-12-16,20.247,"[35, 18, 10749]",6.86
Bad Teacher,2011-05-16,21.499,[35],5.588
Can You Ever Forgive Me?,2018-10-19,16.755,"[18, 80, 35]",6.813
Cube 2: Hypercube,2002-04-15,15.997,"[53, 878, 9648]",5.509
Panic Room,2002-03-29,20.746,"[80, 18, 53]",6.769
Terrifier,2011-08-09,23.998,[27],6.298
Blue Velvet,1986-09-19,23.995,"[9648, 53, 80, 18]",7.63
Soulmates,2021-11-12,20.096,[35],6.2
On the Basis of Sex,2018-12-25,16.753,"[18, 36]",7.4
Money Shot: The Pornhub Story,2023-03-15,24.535,[99],5.675
Red Dot,2021-02-11,20.759,"[53, 27]",5.886
Snow Dogs,2002-01-18,20.593,"[35, 10751, 12]",5.6
The Night Clerk,2020-02-19,20.591,"[53, 80, 18]",6.22
A League of Their Own,1992-07-01,20.584,"[35, 18]",7.173
The Boy,2016-01-22,20.578,"[27, 53, 9648]",5.947
Cats & Dogs,2001-07-04,20.578,"[10751, 35]",5.382
Sibyl,2019-05-24,20.576,"[18, 35]",5.7
Miss Americana,2020-01-31,20.574,"[99, 10402]",7.942
The Sisters Brothers,2018-09-19,20.57,"[18, 37]",6.817
Bulletproof Monk,2003-03-28,20.569,"[28, 35, 14]",5.499
The Life of David Gale,2003-02-21,20.568,"[18, 53, 80]",7.423
Showdown in Little Tokyo,1991-08-23,20.562,"[28, 35, 80]",6.394
Glory,1989-12-15,20.56,"[18, 36, 10752]",7.484
"Good Morning, Vietnam",1987-12-23,20.558,"[35, 18, 10752]",7.312
Viking Wolf,2022-11-18,20.556,"[27, 53, 9648]",5.725
High Heat,2022-12-16,20.555,"[28, 53, 80, 35]",5.72
The Long Weekend,2005-08-05,20.555,"[35, 10749]",5.73
Everest,2015-09-10,20.554,"[12, 18, 36]",6.814
Office Christmas Party,2016-11-25,20.553,[35],5.669
Father of the Bride Part II,1995-12-08,20.552,"[35, 10751]",6.253
Birth,2004-10-29,20.552,"[18, 9648]",5.958
Deep Blue Sea,1999-07-28,20.734,"[28, 27, 878]",5.972
The Smurfs: The Legend of Smurfy Hollow,2013-09-12,20.966,"[35, 16, 10751, 14]",6.78
The Banishing,2021-04-29,19.499,[27],5.342
Pokémon Ranger and the Temple of the Sea,2006-07-15,19.233,"[10751, 16, 28, 12, 14, 878]",6.513
Mallari,2023-12-25,32.154,"[18, 27]",8.0
Mindhunters,2004-05-07,19.23,"[9648, 53, 80]",6.455
Deep Blue Sea 3,2020-08-25,20.743,"[28, 27, 878]",5.657
Slash/Back,2022-06-24,19.81,"[878, 28, 53, 27]",6.5
Winners & Sinners,1983-07-07,18.978,"[28, 12, 35, 80]",6.9
Man of Tai Chi,2013-07-04,34.791,"[28, 18]",6.076
The Way of the Dragon,1972-06-01,24.848,"[28, 80]",7.4
Joe Kidd,1972-07-19,14.908,[37],6.456
Flight of the Navigator,1986-07-30,23.477,"[10751, 878, 12]",6.923
Killer Book Club,2023-08-25,22.338,"[27, 53]",5.644
Interstate 60,2002-04-13,26.227,"[12, 35, 14]",7.359
The Orphanage,2007-05-20,24.228,"[27, 18, 53]",7.227
World Trade Center,2006-08-09,20.727,"[18, 36, 53]",6.149
Horizon Line,2020-10-29,24.49,"[53, 12]",5.634
Batman and Harley Quinn,2017-08-14,18.232,"[12, 28, 16, 878, 35]",6.102
Steel Magnolias,1989-11-15,17.724,"[35, 18, 10749]",7.195
Steel Magnolias,1989-11-15,17.724,"[35, 18, 10749]",7.195
Carrie,2002-11-04,19.225,"[27, 18, 10770]",6.1
My Girl 2,1994-02-11,21.224,"[35, 10751]",5.906
The Man with the Iron Fists,2012-11-02,16.477,[28],5.524
The Killer,1989-03-24,17.723,"[28, 80, 18, 53]",7.617
Ride or Die,2021-04-15,18.741,"[18, 10749, 53]",6.779
The Bible: In the Beginning...,1966-09-28,18.974,"[12, 36, 18]",7.2
Invitation to a Murder,2023-05-05,14.949,"[9648, 53]",5.639
The Burning Sea,2021-10-29,17.744,"[28, 18, 53]",6.722
Escobar: Paradise Lost,2014-10-11,24.116,"[53, 10749]",6.276
Magic Mike,2012-06-28,18.723,"[18, 35]",6.163
Turn in the Wound,2024-02-15,16.355,"[99, 10752]",0.0
A Trip to the Moon,1902-04-17,14.88,"[12, 878]",7.933
Toy Story 5,2026-06-19,19.745,"[16, 12, 10751, 35]",0.0
The Card Counter,2021-09-03,20.49,"[18, 53]",6.162
The Scorpion King 3: Battle for Redemption,2012-01-17,18.972,"[28, 12, 14, 18]",4.5
At Eternity's Gate,2018-11-15,14.978,[18],6.926
Anaconda 3: Offspring,2008-07-26,22.471,"[27, 14, 28, 12, 10770]",4.693
Detective Conan: Magician of the Silver Sky,2004-04-17,25.72,"[16, 9648]",6.949
Sister's Younger Husband,2016-10-11,18.744,"[35, 18, 10749]",5.6
Creed IV,,20.431,"[28, 18]",0.0
She's All That,1999-01-29,20.428,"[35, 10749]",6.3
Free Birds,2013-10-30,20.426,"[16, 35, 10751]",5.864
The Librarian: Quest for the Spear,2004-07-12,20.422,"[12, 28, 14]",6.228
Superman IV: The Quest for Peace,1987-07-24,20.422,"[28, 12, 878]",4.551
47 Meters Down: Uncaged,2019-08-15,20.417,"[27, 18, 12]",5.7
Persian Lessons,2020-04-17,20.413,"[10752, 18]",7.655
Repossessed,1990-09-14,20.409,"[35, 27]",5.14
Forgotten,2017-11-29,20.408,"[53, 9648, 80]",7.973
The Best of Me,2014-10-15,20.408,"[18, 10749]",7.456
McLintock!,1963-11-12,20.401,"[37, 35]",6.577
Parasyte: Part 2,2015-04-25,20.398,"[878, 27, 28, 18]",7.1
Flight 7500,2014-05-16,20.397,"[53, 27, 9648]",4.856
The Postcard Killings,2020-03-13,20.396,"[18, 53]",6.436
Non-Stop,2014-02-26,20.396,"[28, 53, 9648]",6.81
The Hitcher,2007-01-19,20.395,"[27, 80, 53]",5.865
Luck-Key,2016-10-13,20.392,"[28, 35, 80]",7.1
Tubero,2022-10-21,20.39,[18],5.8
Valley of the Dead,2020-10-08,20.389,"[35, 27, 10752]",6.251
The Book of Daniel,2013-10-01,20.384,"[14, 18]",7.0
6 Below: Miracle on the Mountain,2017-10-12,20.38,"[53, 18]",5.845
Cruel Fixation,2019-10-10,20.377,[53],6.875
Fright Night,1985-08-02,20.375,"[35, 27]",7.0
The Endless,2017-11-05,20.373,"[878, 27, 53]",6.328
Shogun Assassin,1980-11-11,20.372,[28],6.9
Tokyo Revengers,2021-07-09,20.37,"[28, 18, 80]",7.895
P2,2007-11-09,20.369,"[27, 53]",6.19
Gia,1998-01-31,20.368,"[10749, 18]",7.121
Berserk: The Golden Age Arc III - The Advent,2013-02-01,20.366,"[28, 12, 18, 14, 16]",7.6
The Bucket List,2007-12-25,20.366,"[18, 35]",7.183
Royalteen: Princess Margrethe,2023-05-11,20.364,"[18, 10749]",6.565
Woodlawn,2015-10-15,20.363,[18],6.945
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001-12-15,20.362,"[28, 878, 27]",7.4
Journey to the West: Conquering the Demons,2013-02-07,20.361,"[28, 14, 12, 35]",6.897
Jimmy Neutron: Boy Genius,2001-12-14,20.361,"[10751, 28, 12, 16, 35, 878]",5.973
Urban Legends: Final Cut,2000-09-22,20.361,"[27, 9648, 53]",4.861
Just a Breath Away,2018-04-04,20.358,"[18, 878, 53]",6.327
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984-03-30,20.356,"[12, 18, 28, 10749]",6.355
Ride Your Wave,2019-06-21,20.352,"[16, 10749, 35, 18, 14]",7.6
Ascension,2021-10-08,20.35,[99],6.8
Infernal Affairs,2002-12-12,20.35,"[18, 28, 53, 80, 9648]",7.82
I Still Know What You Did Last Summer,1998-11-13,20.347,"[27, 9648, 53]",5.339
Eradication,2022-07-15,20.344,"[27, 53]",6.376
The Rescue: The Weight of the World,2023-10-26,20.339,"[53, 18]",6.7
Guilty of Romance,2011-09-30,20.338,"[53, 27, 9648]",6.956
Slaughterhouse Rulez,2018-10-31,20.337,"[28, 35, 14, 27]",5.58
Thumbelina,1994-03-29,20.337,"[16, 10751, 14, 10749, 10402]",6.433
Loving Annabelle,2007-05-24,20.331,"[18, 10749]",6.473
Play Dead,2022-12-09,20.327,"[27, 53]",6.065
Can You Keep a Secret?,2019-09-13,20.327,"[10749, 35]",6.481
The Star,2017-11-15,20.327,"[35, 12, 10751, 14, 16]",6.313
Summer Days with Coo,2007-07-28,20.327,"[16, 35, 10749]",7.822
Gerald's Game,2017-09-29,20.326,"[27, 53]",6.4
Seven Years in Tibet,1997-09-12,20.326,"[12, 18, 36]",7.172
Practical Magic,1998-10-16,20.324,"[10749, 35, 14]",6.756
Shaft,2000-06-15,20.322,"[28, 12, 80, 53]",5.998
Stuart Little 2,2002-07-19,20.321,"[10751, 12, 16, 35]",5.75
My Best Friend's Wedding,1997-06-19,20.321,"[35, 10749]",6.605
